Row ID,Order ID,Seperated  Order Year ,Seperated Order ID,Order Date,Ship Date,Date Difference (Ship Date - Order Date),Ship Mode,Customer ID,Derived Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Revenue
23,CA-2016-137330,2016,137330,09-12-16,13-12-16,4,Standard Class,KB-16585,16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34 ,7,0%,$15.69 ,$312.56 
24,US-2017-156909,2017,156909,16-07-17,18-07-17,2,Second Class,SF-20065,20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37 ,2,30%,($1.02),$144.78 
25,CA-2015-106320,2015,106320,25-09-15,30-09-15,5,Standard Class,EB-13870,13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,"$1,044.63 ",3,0%,$240.26 ,"$2,413.10 "
26,CA-2016-121755,2016,121755,16-01-16,20-01-16,4,Second Class,EH-13945,13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65 ,2,20%,$4.22 ,$14.85 
27,CA-2016-121755,2016,121755,16-01-16,20-01-16,4,Second Class,EH-13945,13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$90.57 ,3,0%,$11.77 ,$236.39 
28,US-2015-150630,2015,150630,17-09-15,21-09-15,4,Standard Class,TB-21520,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","$3,083.43 ",7,50%,"($1,665.05)","$33,239.38 "
29,US-2015-150630,2015,150630,17-09-15,21-09-15,4,Standard Class,TB-21520,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,$9.62 ,2,70%,($7.05),$33.34 
30,US-2015-150630,2015,150630,17-09-15,21-09-15,4,Standard Class,TB-21520,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$124.20 ,3,20%,$15.53 ,$326.03 
31,US-2015-150630,2015,150630,17-09-15,21-09-15,4,Standard Class,TB-21520,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,$3.26 ,2,20%,$1.10 ,$4.32 
32,US-2015-150630,2015,150630,17-09-15,21-09-15,4,Standard Class,TB-21520,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$86.30 ,6,20%,$9.71 ,$459.57 
33,US-2015-150630,2015,150630,17-09-15,21-09-15,4,Standard Class,TB-21520,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",$6.86 ,6,70%,($5.72),$75.44 
34,US-2015-150630,2015,150630,17-09-15,21-09-15,4,Standard Class,TB-21520,21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,$15.76 ,2,20%,$3.55 ,$24.43 
35,CA-2017-107727,2017,107727,19-10-17,23-10-17,4,Second Class,MA-17560,17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,$29.47 ,3,20%,$9.95 ,$58.58 
36,CA-2016-117590,2016,117590,08-12-16,10-12-16,2,First Class,GH-14485,14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,"$1,097.54 ",7,20%,$123.47 ,"$6,818.49 "
37,CA-2016-117590,2016,117590,08-12-16,10-12-16,2,First Class,GH-14485,14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",$190.92 ,5,60%,($147.96),"$1,694.42 "
38,CA-2015-117415,2015,117415,27-12-15,31-12-15,4,Standard Class,SN-20710,20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$113.33 ,9,20%,$35.42 ,$701.22 
39,CA-2015-117415,2015,117415,27-12-15,31-12-15,4,Standard Class,SN-20710,20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",$532.40 ,3,32%,($46.98),"$1,738.13 "
40,CA-2015-117415,2015,117415,27-12-15,31-12-15,4,Standard Class,SN-20710,20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",$212.06 ,3,30%,($15.15),$681.62 
41,CA-2015-117415,2015,117415,27-12-15,31-12-15,4,Standard Class,SN-20710,20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,$371.17 ,4,20%,$41.76 ,"$1,317.65 "
42,CA-2017-120999,2017,120999,10-09-17,15-09-17,5,Standard Class,LC-16930,16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$147.17 ,4,20%,$16.56 ,$522.45 
43,CA-2016-101343,2016,101343,17-07-16,22-07-16,5,Standard Class,RA-19885,19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",$77.88 ,2,0%,$3.89 ,$147.97 
44,CA-2017-139619,2017,139619,19-09-17,23-09-17,4,Standard Class,ES-14080,14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$95.62 ,2,20%,$9.56 ,$172.11 
45,CA-2016-118255,2016,118255,11-03-16,13-03-16,2,First Class,ON-18715,18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$45.98 ,2,0%,$19.77 ,$52.42 
46,CA-2016-118255,2016,118255,11-03-16,13-03-16,2,First Class,ON-18715,18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,$17.46 ,2,0%,$8.21 ,$18.51 
47,CA-2014-146703,2014,146703,20-10-14,25-10-14,5,Second Class,PO-18865,18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$211.96 ,4,0%,$8.48 ,$813.93 
48,CA-2016-169194,2016,169194,20-06-16,25-06-16,5,Standard Class,LH-16900,16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$45.00 ,3,0%,$4.95 ,$120.15 
49,CA-2016-169194,2016,169194,20-06-16,25-06-16,5,Standard Class,LH-16900,16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$21.80 ,2,0%,$6.10 ,$31.39 
50,CA-2015-115742,2015,115742,18-04-15,22-04-15,4,Standard Class,DP-13000,13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$38.22 ,6,0%,$17.96 ,$121.54 
51,CA-2015-115742,2015,115742,18-04-15,22-04-15,4,Standard Class,DP-13000,13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,$75.18 ,6,0%,$35.33 ,$239.07 
52,CA-2015-115742,2015,115742,18-04-15,22-04-15,4,Standard Class,DP-13000,13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,$6.16 ,2,0%,$2.96 ,$6.41 
53,CA-2015-115742,2015,115742,18-04-15,22-04-15,4,Standard Class,DP-13000,13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",$89.99 ,1,0%,$17.10 ,$72.89 
54,CA-2016-105816,2016,105816,11-12-16,17-12-16,6,Standard Class,JM-15265,15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,$15.26 ,7,0%,$6.26 ,$63.02 
55,CA-2016-105816,2016,105816,11-12-16,17-12-16,6,Standard Class,JM-15265,15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,"$1,029.95 ",5,0%,$298.69 ,"$3,656.32 "
56,CA-2016-111682,2016,111682,17-06-16,18-06-16,1,First Class,TB-21055,21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,$208.56 ,6,0%,$52.14 ,$938.52 
57,CA-2016-111682,2016,111682,17-06-16,18-06-16,1,First Class,TB-21055,21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,$32.40 ,5,0%,$15.55 ,$84.24 
58,CA-2016-111682,2016,111682,17-06-16,18-06-16,1,First Class,TB-21055,21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,$319.41 ,5,10%,$7.10 ,"$1,561.56 "
59,CA-2016-111682,2016,111682,17-06-16,18-06-16,1,First Class,TB-21055,21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",$14.56 ,2,0%,$6.99 ,$15.14 
60,CA-2016-111682,2016,111682,17-06-16,18-06-16,1,First Class,TB-21055,21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$30.00 ,2,0%,$3.30 ,$53.40 
61,CA-2016-111682,2016,111682,17-06-16,18-06-16,1,First Class,TB-21055,21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,$48.48 ,4,20%,$16.36 ,$128.47 
62,CA-2016-111682,2016,111682,17-06-16,18-06-16,1,First Class,TB-21055,21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,$1.68 ,1,0%,$0.84 ,$0.84 
63,CA-2015-135545,2015,135545,24-11-15,30-11-15,6,Standard Class,KM-16720,16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$13.98 ,2,0%,$6.15 ,$15.66 
64,CA-2015-135545,2015,135545,24-11-15,30-11-15,6,Standard Class,KM-16720,16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$25.82 ,6,20%,$9.36 ,$98.78 
65,CA-2015-135545,2015,135545,24-11-15,30-11-15,6,Standard Class,KM-16720,16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,$146.73 ,3,0%,$68.96 ,$233.30 
66,CA-2015-135545,2015,135545,24-11-15,30-11-15,6,Standard Class,KM-16720,16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,$79.76 ,4,0%,$22.33 ,$229.71 
67,US-2015-164175,2015,164175,30-04-15,05-05-15,5,Standard Class,PS-18970,18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",$213.12 ,5,30%,($15.22),"$1,141.69 "
68,CA-2014-106376,2014,106376,05-12-14,10-12-14,5,Standard Class,BS-11590,11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige","$1,113.02 ",8,20%,$111.30 ,"$8,013.77 "
69,CA-2014-106376,2014,106376,05-12-14,10-12-14,5,Standard Class,BS-11590,11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,$167.97 ,4,20%,$62.99 ,$419.92 
70,CA-2016-119823,2016,119823,04-06-16,06-06-16,2,First Class,KD-16270,16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$75.88 ,2,0%,$35.66 ,$80.43 
71,CA-2016-106075,2016,106075,18-09-16,23-09-16,5,Standard Class,HM-14980,14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,$4.62 ,1,20%,$1.73 ,$2.89 
72,CA-2017-114440,2017,114440,14-09-17,17-09-17,3,Second Class,TB-21520,21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$19.05 ,3,0%,$8.76 ,$30.86 
73,US-2015-134026,2015,134026,26-04-15,02-05-15,6,Standard Class,JE-15745,15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,$831.94 ,8,20%,($114.39),"$7,570.62 "
74,US-2015-134026,2015,134026,26-04-15,02-05-15,6,Standard Class,JE-15745,15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$97.04 ,2,20%,$1.21 ,$191.65 
75,US-2015-134026,2015,134026,26-04-15,02-05-15,6,Standard Class,JE-15745,15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,$72.78 ,1,20%,($18.20),$90.98 
76,US-2017-118038,2017,118038,09-12-17,11-12-17,2,First Class,KB-16600,16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,$1.25 ,3,80%,($1.93),$9.55 
77,US-2017-118038,2017,118038,09-12-17,11-12-17,2,First Class,KB-16600,16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",$9.71 ,3,60%,($5.82),$46.60 
78,US-2017-118038,2017,118038,09-12-17,11-12-17,2,First Class,KB-16600,16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$27.24 ,3,20%,$2.72 ,$73.55 
79,US-2014-147606,2014,147606,26-11-14,01-12-14,5,Second Class,JE-15745,15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",$19.30 ,5,60%,($14.48),$168.88 
80,CA-2016-127208,2016,127208,12-06-16,15-06-16,3,First Class,SC-20770,20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$208.16 ,1,0%,$56.20 ,$151.96 
81,CA-2016-127208,2016,127208,12-06-16,15-06-16,3,First Class,SC-20770,20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,$16.74 ,3,0%,$8.04 ,$26.11 
82,CA-2014-139451,2014,139451,12-10-14,16-10-14,4,Standard Class,DN-13690,13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$14.90 ,5,0%,$4.17 ,$53.64 
83,CA-2014-139451,2014,139451,12-10-14,16-10-14,4,Standard Class,DN-13690,13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",$21.39 ,1,0%,$6.20 ,$15.19 
84,CA-2015-149734,2015,149734,03-09-15,08-09-15,5,Standard Class,JC-16105,16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$200.98 ,7,20%,$62.81 ,$967.24 
85,US-2017-119662,2017,119662,13-11-17,16-11-17,3,First Class,CS-12400,12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,$230.38 ,3,20%,($48.95),$837.99 
86,CA-2017-140088,2017,140088,28-05-17,30-05-17,2,Second Class,PO-18865,18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,$301.96 ,2,0%,$33.22 ,$537.49 
87,CA-2017-155558,2017,155558,26-10-17,02-11-17,7,Standard Class,PG-18895,18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$19.99 ,1,0%,$6.80 ,$13.19 
88,CA-2017-155558,2017,155558,26-10-17,02-11-17,7,Standard Class,PG-18895,18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,$6.16 ,2,0%,$2.96 ,$6.41 
89,CA-2016-159695,2016,159695,05-04-16,10-04-16,5,Second Class,GM-14455,14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,$158.37 ,7,20%,$13.86 ,"$1,011.58 "
90,CA-2016-109806,2016,109806,17-09-16,22-09-16,5,Standard Class,JS-15685,15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,$20.10 ,3,0%,$6.63 ,$40.40 
91,CA-2016-109806,2016,109806,17-09-16,22-09-16,5,Standard Class,JS-15685,15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,$73.58 ,2,20%,$8.28 ,$130.61 
92,CA-2016-109806,2016,109806,17-09-16,22-09-16,5,Standard Class,JS-15685,15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,$6.48 ,1,0%,$3.11 ,$3.37 
